600,2,0.9,0.02,1405,1405.0
600,2,0.9,0.06,1280,1280.0
600,2,0.9,0.1,1303,1303.0
600,2,0.9,0.14,1833,1833.0
600,3,0.6,0.02,1281,1281.0
600,3,0.6,0.06,1225,1225.0
600,3,0.6,0.1,1182,1182.0
600,3,0.6,0.14,1272,1272.0
600,3,0.7,0.02,1472,1472.0
600,3,0.7,0.06,1353,1353.0
600,3,0.7,0.1,1304,1304.0
600,3,0.7,0.14,1298,1298.0
600,3,0.8,0.02,1431,1431.0
600,3,0.8,0.06,1224,1224.0
600,3,0.8,0.1,1257,1257.0
600,3,0.8,0.14,1300,1300.0
600,3,0.9,0.02,1388,1388.0
600,3,0.9,0.06,1249,1249.0
600,3,0.9,0.1,1258,1258.0
600,3,0.9,0.14,1223,1223.0
600,4,0.6,0.02,1354,1354.0
600,4,0.6,0.06,1335,1335.0
600,4,0.6,0.1,1324,1324.0
600,4,0.6,0.14,1251,1251.0
600,4,0.7,0.02,1457,1457.0
600,4,0.7,0.06,1405,1405.0
600,4,0.7,0.1,1221,1221.0
600,4,0.7,0.14,1283,1283.0
600,4,0.8,0.02,1379,1379.0
600,4,0.8,0.06,1282,1282.0
600,4,0.8,0.1,1297,1297.0
600,4,0.8,0.14,1215,1215.0
600,4,0.9,0.02,1287,1287.0
600,4,0.9,0.06,1291,1291.0
600,4,0.9,0.1,1323,1323.0
600,4,0.9,0.14,1325,1325.0
600,5,0.6,0.02,1361,1361.0
600,5,0.6,0.06,1299,1299.0
600,5,0.6,0.1,1264,1264.0
600,5,0.6,0.14,1408,1408.0
600,5,0.7,0.02,1394,1394.0
600,5,0.7,0.06,1392,1392.0
600,5,0.7,0.1,1303,1303.0
600,5,0.7,0.14,1175,1175.0
600,5,0.8,0.02,1351,1351.0
600,5,0.8,0.06,1222,1222.0
600,5,0.8,0.1,1193,1193.0
600,5,0.8,0.14,1253,1253.0
600,5,0.9,0.02,1318,1318.0
600,5,0.9,0.06,1342,1342.0
600,5,0.9,0.1,1262,1262.0
600,5,0.9,0.14,1310,1310.0
800,2,0.6,0.02,1340,1340.0
800,2,0.6,0.06,1242,1242.0
800,2,0.6,0.1,1358,1358.0
800,2,0.6,0.14,1295,1295.0
800,2,0.7,0.02,1304,1304.0
800,2,0.7,0.06,1337,1337.0
800,2,0.7,0.1,1337,1337.0
800,2,0.7,0.14,1205,1205.0
800,2,0.8,0.02,1238,1238.0
800,2,0.8,0.06,1304,1304.0
800,2,0.8,0.1,1188,1188.0
800,2,0.8,0.14,1724,1724.0
800,2,0.9,0.02,1316,1316.0
800,2,0.9,0.06,1341,1341.0
800,2,0.9,0.1,1328,1328.0
800,2,0.9,0.14,1715,1715.0
800,3,0.6,0.02,1213,1213.0
800,3,0.6,0.06,1249,1249.0
800,3,0.6,0.1,1135,1135.0
800,3,0.6,0.14,1254,1254.0
800,3,0.7,0.02,1268,1268.0
800,3,0.7,0.06,1189,1189.0
800,3,0.7,0.1,1350,1350.0
800,3,0.7,0.14,1308,1308.0
800,3,0.8,0.02,1364,1364.0
